ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
IIFL,2023-05-09,2023-05-15,455.6,431.09,398,181510.13,0.5505,431.09,-9754.98,-10279.46,-5.66,6,stop_loss
ZENTEC,2023-04-26,2023-05-17,286.66,326.9,585,167863.8,0.6445,266.54,23540.4,22990.23,13.7,21,target_hit
CANBK,2023-05-16,2023-05-19,55.15,52.94,3252,179527.15,0.5086,52.94,-7186.92,-7710.59,-4.29,3,stop_loss
POWERGRID,2023-05-18,2023-05-19,160.08,155.58,1373,220009.63,0.5067,155.58,-6178.5,-6825.51,-3.1,1,stop_loss
SIEMENS,2023-05-22,2023-05-22,2097.51,2016.23,102,214159.97,0.5033,2016.23,-8290.56,-8915.82,-4.16,0,stop_loss
INDHOTEL,2023-05-16,2023-05-25,351.97,378.8,611,215268.72,0.5888,338.55,16393.13,15715.18,7.3,9,target_hit
KIRLOSENG,2023-05-05,2023-05-30,386.51,381.91,456,176424.81,0.6334,362.35,-2097.6,-2622.15,-1.49,25,ema_reversal
FINCABLES,2023-05-26,2023-05-29,831.92,793.8,214,178208.91,0.5199,793.8,-8157.68,-8675.46,-4.87,3,stop_loss
RECLTD,2023-05-23,2023-05-30,110.84,119.56,1925,213580.37,0.5642,106.48,16786.0,16112.33,7.54,7,target_hit
GPPL,2023-05-22,2023-05-31,96.58,90.99,1870,180785.2,0.5702,90.99,-10453.3,-10974.21,-6.07,9,stop_loss
MANAPPURAM,2023-05-08,2023-06-16,102.19,118.25,1301,133082.14,0.7633,94.16,20894.06,20453.42,15.37,39,target_hit
BHEL,2023-05-11,2023-06-19,80.19,88.53,2665,213920.06,0.6027,76.02,22226.1,21540.53,10.07,39,target_hit
AXISCADES,2023-05-30,2023-06-21,373.95,431.92,476,178178.2,0.6493,344.96,27593.72,27004.53,15.16,22,target_hit
