Ticker,Total_Rows,Feature_Rows,NaN_target_rows,Any_warnings,Status
MTAR,0,0,0,no raw data,ERROR
NATCOPHARM,1236,1176,10,,OK
NBCC,1236,1176,10,,OK
NCC,1236,1176,10,,OK
NESCO,1235,1175,10,,OK
NETWORK18,1236,1176,10,,OK
NEWGEN,1236,1176,10,,OK
NILKAMAL,1235,1175,10,,OK
NLCINDIA,1236,1176,10,,OK
NOCIL,1236,1176,10,,OK
NUVOCO,1138,1078,10,,OK
OLECTRA,1236,1176,10,,OK
OMAXE,1236,1176,10,,OK
ONWARDTEC,1235,1175,10,,OK
ORIENTCEM,1236,1176,10,,OK
ORIENTELEC,1236,1176,10,,OK
PAISALO,1236,1176,10,,OK
PARADEEP,949,889,10,,OK
PARAS,1110,1050,10,,OK
PCJEWELLER,1236,1176,10,,OK
PGHH,1235,1175,10,,OK
PHOENIXLTD,1235,1175,10,,OK
PNBHOUSING,1236,1176,10,,OK
POLYMED,1236,1176,10,,OK
POONAWALLA,1236,1176,10,,OK
POWERMECH,1235,1175,10,,OK
PRESTIGE,1236,1176,10,,OK
PRINCEPIPE,1236,1176,10,,OK
PRSMJOHNSN,1235,1175,10,,OK
PURVA,1236,1176,10,,OK
RADICO,1235,1175,10,,OK
RAILTEL,1236,1176,10,,OK
RAIN,1236,1176,10,,OK
RAJRATAN,1236,1176,10,,OK
RALLIS,1236,1176,10,,OK
RATNAMANI,1236,1176,10,,OK
RAYMOND,1236,1176,10,,OK
RBA,1236,1176,10,,OK
REDINGTON,1236,1176,10,,OK
RELAXO,1236,1176,10,,OK
RITES,1236,1176,10,,OK
ROSSARI,1236,1176,10,,OK
ROUTE,1236,1176,10,,OK
SAFARI,1235,1175,10,,OK
SAREGAMA,1235,1175,10,,OK
SBFC,641,581,10,,OK
SCHAEFFLER,1236,1176,10,,OK
SEQUENT,1237,1177,10,,OK
SHILPAMED,1236,1176,10,,OK
SHOPERSTOP,1236,1176,10,,OK
SHYAMMETL,1178,1118,10,,OK
SKFINDIA,1236,1176,10,,OK
SOBHA,1235,1175,10,,OK
SOLARA,1236,1176,10,,OK
SONACOMS,1178,1118,10,,OK
SPANDANA,1236,1176,10,,OK
SPARC,1236,1176,10,,OK
STARHEALTH,1063,1003,10,,OK
STYRENIX,1236,1176,10,,OK
SUBROS,1235,1175,10,,OK
SUMICHEM,1236,1176,10,,OK
SUPRIYA,1050,990,10,,OK
SUVEN,1236,1176,10,,OK
SUVENPHAR,0,0,0,no raw data,ERROR
SUZLON,1236,1176,10,,OK
TANLA,1236,1176,10,,OK
