ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
CHOLAFIN,2024-05-14,2024-05-30,1278.89,1214.1,157,200986.52,0.523,1214.1,-10172.03,-10754.04,-5.07,16,stop_loss
SAREGAMA,2024-05-24,2024-06-03,460.92,516.9,453,209005.56,0.6188,432.93,25358.94,24681.83,12.15,10,target_hit
TIMKEN,2024-05-28,2024-06-04,4065.33,3784.19,51,207539.16,0.576,3784.19,-14338.14,-14931.46,-6.92,7,stop_loss
VEDL,2024-05-29,2024-06-04,401.13,377.07,524,210402.31,0.6283,377.07,-12607.44,-13212.8,-6.0,6,stop_loss
BLUESTARCO,2024-05-29,2024-06-04,1504.56,1668.62,139,209342.97,0.5518,1422.53,22804.34,22131.33,10.9,6,target_hit
JINDALSTEL,2024-06-03,2024-06-04,1075.61,1034.32,195,209953.69,0.5432,1034.32,-8051.55,-8664.68,-3.84,1,stop_loss
SCHAEFFLER,2024-06-05,2024-06-05,4159.79,3802.63,50,208197.49,0.5708,3802.63,-17858.0,-18446.25,-8.59,0,stop_loss
MUTHOOTFIN,2024-05-13,2024-06-06,1622.21,1788.99,123,199731.36,0.5355,1538.82,20513.94,19874.32,10.28,24,target_hit
BHARATFORG,2024-06-06,2024-06-14,1496.95,1687.31,139,208284.13,0.5963,1401.77,26460.04,25782.89,12.72,8,target_hit
EXIDEIND,2024-06-06,2024-06-20,489.26,565.82,426,208633.18,0.6401,450.98,32614.56,31924.06,15.65,14,target_hit
FORTIS,2024-06-25,2024-07-02,483.98,457.03,468,226729.14,0.6015,457.03,-12612.6,-13266.88,-5.57,7,stop_loss
BEL,2024-06-07,2024-07-08,269.98,324.8,784,211875.98,0.623,242.57,42978.88,42257.93,20.31,31,target_hit
WELENT,2024-06-05,2024-07-09,418.86,503.98,493,206704.48,0.6844,376.3,41964.16,41260.74,20.32,34,target_hit
JINDALSTEL,2024-06-06,2024-07-11,1011.97,1003.9,205,207661.3,0.5601,949.54,-1654.35,-2273.4,-0.8,35,ema_reversal
UNOMINDA,2024-07-10,2024-07-12,1115.67,1037.0,206,230057.85,0.616,1037.0,-16206.02,-16863.09,-7.05,2,stop_loss
BRIGADE,2024-07-11,2024-07-15,1342.78,1313.55,169,227156.75,0.5505,1255.18,-4939.87,-5610.78,-2.18,4,ema_reversal
HAVELLS,2024-06-06,2024-07-22,1793.01,1751.4,115,206402.35,0.5271,1701.85,-4785.15,-5394.17,-2.32,46,ema_reversal
ARVINDFASN,2024-07-04,2024-07-22,525.21,470.52,432,227117.61,0.6278,491.98,-23626.08,-24259.5,-10.41,18,ema_reversal
KIRLPNU,2024-06-24,2024-07-22,1331.28,1222.33,170,226543.92,0.5976,1222.33,-18521.5,-19163.41,-8.18,28,stop_loss
RECLTD,2024-07-19,2024-07-23,561.01,529.49,399,224066.83,0.6254,529.49,-12576.48,-13222.86,-5.62,4,stop_loss
KPIL,2024-07-22,2024-07-23,1330.99,1245.13,165,219832.96,0.5681,1245.13,-14166.9,-14797.41,-6.45,1,stop_loss
CHAMBLFERT,2024-07-23,2024-07-23,492.48,458.06,444,218879.78,0.5793,458.06,-15282.48,-15907.9,-6.99,0,stop_loss
ISGEC,2024-07-22,2024-07-30,1341.62,1525.52,163,218902.74,0.5744,1249.67,29975.7,29259.7,13.71,8,target_hit
MANAPPURAM,2024-07-25,2024-08-05,204.61,192.53,1040,213007.19,0.6101,192.53,-12563.2,-13176.46,-5.9,11,stop_loss
CERA,2024-07-24,2024-08-06,8932.19,9977.79,23,205645.81,0.5286,8409.39,24048.8,23384.38,11.71,13,target_hit
NBCC,2024-07-24,2024-08-07,116.01,110.67,1836,213207.35,0.5956,104.56,-9804.24,-10423.61,-4.6,14,ema_reversal
PIIND,2024-08-06,2024-08-09,4194.85,4540.95,51,214151.29,0.5244,4021.8,17651.1,16973.99,8.25,3,target_hit
EVEREADY,2024-08-07,2024-08-12,413.46,472.14,520,215214.2,0.6033,384.12,30513.6,29807.58,14.19,5,target_hit
SUMICHEM,2024-07-10,2024-08-14,491.72,546.9,468,230355.08,0.5818,464.13,25824.24,25082.22,11.22,35,target_hit
POWERMECH,2024-08-19,2024-08-23,2977.86,3373.26,76,226543.68,0.5306,2780.16,30050.4,29311.35,13.28,4,target_hit
TORNTPOWER,2024-08-12,2024-08-26,1736.43,1616.16,130,225961.64,0.5825,1616.16,-15635.1,-16281.04,-6.93,14,stop_loss
ZYDUSWELL,2024-08-05,2024-09-04,443.34,440.88,494,219228.97,0.631,417.45,-1215.24,-1869.84,-0.55,30,ema_reversal
DHANUKA,2024-07-16,2024-09-05,1721.83,1713.07,131,225785.29,0.6014,1609.8,-1147.56,-1821.94,-0.51,51,ema_reversal
ZYDUSWELL,2024-09-05,2024-09-10,452.85,448.26,504,228464.64,0.5538,428.83,-2313.36,-2993.44,-1.01,5,ema_reversal
PIIND,2024-08-20,2024-09-11,4299.33,4677.73,52,223788.73,0.5256,4110.13,19676.8,18966.75,8.8,22,target_hit
ALOKINDS,2024-08-30,2024-09-12,27.85,26.34,8266,230438.31,0.599,25.98,-12481.66,-13147.32,-5.42,13,ema_reversal
GRANULES,2024-09-09,2024-09-13,671.5,563.28,341,229210.48,0.6099,640.31,-36903.02,-37516.16,-16.12,4,ema_reversal
THYROCARE,2024-09-02,2024-09-19,287.06,270.57,808,232176.42,0.6579,270.57,-13323.92,-13993.11,-5.74,17,stop_loss
LAURUSLABS,2024-09-19,2024-09-19,484.54,463.03,458,222141.24,0.5861,463.03,-9851.58,-10497.63,-4.44,0,stop_loss
MGL,2024-08-07,2024-09-25,1712.08,1915.8,125,214224.01,0.5827,1610.22,25465.0,24772.04,11.9,49,target_hit
