date,total_value
2025-06-12,1093290.48
2025-06-13,1093290.48
2025-06-16,1093290.48
2025-06-17,1093290.48
2025-06-18,1093290.48
2025-06-19,1093290.48
2025-06-20,1093290.48
2025-06-23,1093290.48
2025-06-24,1093290.48
2025-06-25,1093290.48
2025-06-26,1093290.48
2025-06-27,1093290.48
2025-06-30,1093290.48
2025-07-01,1093290.48
2025-07-02,1093290.48
2025-07-03,1093290.48
2025-07-04,1093290.48
2025-07-07,1093290.48
2025-07-08,1093290.48
2025-07-09,1093290.48
2025-07-10,1093290.48
2025-07-11,1093290.48
2025-07-14,1093290.48
2025-07-15,1093290.48
2025-07-16,1093290.48
2025-07-17,1093290.48
2025-07-18,1093290.48
2025-07-21,1093290.48
2025-07-22,1093290.48
2025-07-23,1093290.48
2025-07-24,1093290.48
2025-07-25,1093290.48
2025-07-28,1093290.48
2025-07-29,1093290.48
2025-07-30,1093290.48
2025-07-31,1093290.48
2025-08-01,1093290.48
2025-08-04,1093239.7
2025-08-05,1092366.58
2025-08-06,1091450.66
2025-08-07,1090763.2
2025-08-08,1090763.2
2025-08-11,1090763.2
2025-08-12,1090763.2
2025-08-13,1090763.2
2025-08-14,1090763.2
2025-08-18,1090763.2
2025-08-19,1090763.2
2025-08-20,1090763.2
2025-08-21,1090763.2
2025-08-22,1090763.2
2025-08-25,1090763.2
2025-08-26,1090763.2
2025-08-28,1090763.2
2025-08-29,1090763.2
2025-09-01,1090763.2
2025-09-02,1090763.2
2025-09-03,1090763.2
2025-09-04,1090763.2
2025-09-05,1090763.2
2025-09-08,1090763.2
2025-09-09,1090763.2
2025-09-10,1090763.2
2025-09-11,1090763.2
2025-09-12,1090763.2
2025-09-15,1090763.2
2025-09-16,1090763.2
2025-09-17,1090763.2
2025-09-18,1090763.2
2025-09-19,1090763.2
2025-09-22,1090763.2
2025-09-23,1090763.2
2025-09-24,1090763.2
2025-09-25,1090763.2
2025-09-26,1090763.2
2025-09-29,1090763.2
2025-09-30,1090763.2
2025-10-01,1090763.2
2025-10-03,1090433.41
2025-10-06,1089672.69
2025-10-07,1088654.45
2025-10-08,1088339.8
2025-10-09,1088339.8
2025-10-10,1088339.8
2025-10-13,1088339.8
2025-10-14,1088339.8
2025-10-15,1088339.8
2025-10-16,1088339.8
2025-10-17,1088339.8
2025-10-20,1088339.8
2025-10-21,1088339.8
2025-10-23,1088339.8
2025-10-24,1088339.8
2025-10-27,1088339.8
2025-10-28,1088339.8
2025-10-29,1088339.8
2025-10-30,1088339.8
2025-10-31,1088339.8
2025-11-03,1088339.8
2025-11-04,1088339.8
2025-11-06,1088339.8
2025-11-07,1088339.8
2025-11-10,1088339.8
2025-11-11,1088339.8
2025-11-12,1088339.8
2025-11-13,1088339.8
2025-11-14,1088339.8
2025-11-17,1088339.8
2025-11-18,1088339.8
2025-11-19,1088339.8
2025-11-20,1088339.8
2025-11-21,1088339.8
2025-11-24,1088339.8
2025-11-25,1088339.8
2025-11-26,1088339.8
2025-11-27,1088339.8
2025-11-28,1088339.8
2025-12-01,1088339.8
2025-12-02,1088339.8
2025-12-03,1088339.8
2025-12-04,1088339.8
2025-12-05,1088339.8
2025-12-08,1088339.8
2025-12-09,1088339.8
2025-12-10,1088339.8
2025-12-11,1088339.8
2025-12-12,1088339.8
2025-12-15,1088339.8
2025-12-16,1088339.8
2025-12-17,1088339.8
2025-12-18,1088339.8
2025-12-19,1088339.8
2025-12-22,1088339.8
2025-12-23,1088339.8
2025-12-24,1088339.8
2025-12-26,1088339.8
2025-12-29,1088339.8
2025-12-30,1088339.8
2025-12-31,1088339.8
2026-01-01,1088339.8
2026-01-02,1088339.8
2026-01-05,1088339.8
2026-01-06,1088187.51
2026-01-07,1088065.11
2026-01-08,1087102.23
2026-01-09,1087257.27
2026-01-12,1085339.98
2026-01-13,1085339.98
2026-01-14,1085339.98
2026-01-15,1085339.98
2026-01-16,1085339.98
2026-01-19,1085339.98
2026-01-20,1085339.98
2026-01-21,1085339.98
2026-01-22,1085339.98
2026-01-23,1085339.98
2026-01-27,1085339.98
2026-01-28,1085339.98
2026-01-29,1085339.98
2026-01-30,1085339.98
2026-02-02,1085339.98
2026-02-03,1085339.98
2026-02-04,1085339.98
2026-02-05,1085339.98
2026-02-06,1085339.98
2026-02-09,1085339.98
2026-02-10,1085087.31
2026-02-11,1084775.99
2026-02-12,1085203.15
2026-02-13,1084956.99
2026-02-16,1084913.55
2026-02-17,1085297.27
2026-02-18,1084623.95
2026-02-19,1083834.79
2026-02-20,1084160.59
2026-02-23,1083029.68
2026-02-24,1083029.68
2026-02-25,1083029.68
2026-02-26,1083029.68
2026-02-27,1083029.68
2026-03-02,1083029.68
2026-03-04,1083029.68
2026-03-05,1083029.68
2026-03-06,1083029.68
2026-03-09,1083029.68
2026-03-10,1083029.68
2026-03-11,1083029.68
2026-03-12,1083029.68
2026-03-13,1083029.68
2026-03-16,1083029.68
2026-03-17,1083029.68
2026-03-18,1083029.68
2026-03-19,1083029.68
2026-03-20,1083029.68
2026-03-23,1083029.68
2026-03-24,1083029.68
